Price,Close,Volume,High,Low,Open
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2020-11-23,18364.12109375,42741112308,18711.42578125,18000.796875,18370.017578125
2020-11-24,19107.46484375,51469565009,19348.271484375,18128.65625,18365.015625
2020-11-25,18732.12109375,43710357371,19390.96484375,18581.146484375,19104.41015625
2020-11-26,17150.623046875,61396835737,18866.28515625,16351.03515625,18729.83984375
2020-11-27,17108.40234375,38886494645,17445.0234375,16526.423828125,17153.9140625
2020-11-28,17717.4140625,32601040734,17853.939453125,16910.65234375,17112.93359375
2020-11-29,18177.484375,31133957704,18283.62890625,17559.1171875,17719.634765625
2020-11-30,19625.8359375,47728480399,19749.263671875,18178.322265625,18178.322265625
2020-12-01,18802.998046875,49633658712,19845.974609375,18321.921875,19633.76953125
2020-12-02,19201.091796875,37387697139,19308.330078125,18347.71875,18801.744140625
2020-12-03,19445.3984375,31930317405,19566.19140625,18925.78515625,19205.92578125
2020-12-04,18699.765625,33872388058,19511.404296875,18697.193359375,19446.966796875
2020-12-05,19154.23046875,27242455064,19160.44921875,18590.193359375,18698.384765625
2020-12-06,19345.12109375,25293775714,19390.5,18897.89453125,19154.1796875
2020-12-07,19191.630859375,26896357742,19411.828125,18931.142578125,19343.12890625
2020-12-08,18321.14453125,31692288756,19283.478515625,18269.9453125,19191.529296875
2020-12-09,18553.916015625,34420373071,18626.29296875,17935.546875,18320.884765625
2020-12-10,18264.9921875,25547132265,18553.298828125,17957.064453125,18553.298828125
2020-12-11,18058.904296875,27919640985,18268.453125,17619.533203125,18263.9296875
2020-12-12,18803.65625,21752580802,18919.55078125,18046.041015625,18051.3203125
2020-12-13,19142.3828125,25450468637,19381.53515625,18734.33203125,18806.765625
2020-12-14,19246.64453125,22473997681,19305.099609375,19012.708984375,19144.4921875
2020-12-15,19417.076171875,26741982541,19525.0078125,19079.841796875,19246.919921875
2020-12-16,21310.59765625,44409011479,21458.908203125,19298.31640625,19418.818359375
2020-12-17,22805.162109375,71378606374,23642.66015625,21234.67578125,21308.3515625
2020-12-18,23137.9609375,40387896275,23238.6015625,22399.8125,22806.796875
2020-12-19,23869.83203125,38487546580,24085.85546875,22826.47265625,23132.865234375
2020-12-20,23477.294921875,37844228422,24209.66015625,23147.7109375,23861.765625
